Name,Location,Country,Total_Amount, year,Type 
THE IRISH DAIRY BOARD CO-OP,"Dublin,",Ireland," € 8,399,529.90 ",2013,Farm Subsidary
BALLYHOURA DEVELOPMENT LTD.,"Limerick,",IE," € 7,231,200.44 ",2013,Farm Subsidary
WEST CORK DEVELOPMENT PARTNERSHIP LTD.,"Cork,",IE," € 6,487,223.82 ",2013,Farm Subsidary
GALWAY RURAL DEVELOPMENT COMPANY,"Galway,",IE," € 6,144,907.97 ",2013,Farm Subsidary
WEXFORD LOCAL DEVELOPMENT,"Wexford,",IE," € 6,100,526.55 ",2013,Farm Subsidary
CO KILKENNY LEADER PARTNERSHIP,"Kilkenny,",IE," € 5,489,784.19 ",2013,Farm Subsidary
CLARE LOCAL DEVELOPMENT COMPANY LTD.,"Clare,",IE," € 5,411,178.07 ",2013,Farm Subsidary
IRD DUHALLOW LTD.,"Cork,",IE," € 5,379,994.02 ",2013,Farm Subsidary
SOUTH TIPPERARY LOCAL DEVELOPMENT CO LTD,"Tipperary,",IE," € 5,208,545.68 ",2013,Farm Subsidary
DONEGAL LOCAL DEVELOPMENT COMPANY LTD.,"Donegal,",IE," € 4,814,034.80 ",2013,Farm Subsidary
WATERFORD LEADER PARTNERSHIP LTD.,"Waterford,",IE," € 4,760,821.86 ",2013,Farm Subsidary
WEST LIMERICK RESOURCES LTD,"Limerick,",IE," € 4,622,284.29 ",2013,Farm Subsidary
CILL DARA AR AGHAIDH TEO,"Kildare,",Ireland," € 4,530,196.44 ",2013,Farm Subsidary
NORTH EAST KERRY LEADER PARTNERSHIP TEO,"Kerry,",Ireland," € 4,454,549.15 ",2013,Farm Subsidary
NORTH TIPPERARY LEADER PARTNERSHIP,"Tipperary,",Ireland," € 4,391,585.54 ",2013,Farm Subsidary
AVONDHU BLACKWATER PARTNERSHIP LTD.,"Cork,",Ireland," € 4,275,210.06 ",2013,Farm Subsidary
MEATH COMMUNITY RURAL AND SOCIAL DEV.,"Meath,",IE," € 4,094,985.83 ",2013,Farm Subsidary
LEITRIM INTEGRATED DEVELOPMENT CO LTD,"Leitrim,",IE," € 4,041,148.69 ",2013,Farm Subsidary
CAVAN-MONAGHAN LEADER,"Cavan,",IE," € 3,958,816.63 ",2013,Farm Subsidary
CARLOW COUNTY DEVELOPMENT PARTNERSHIP LT,"Carlow,",IE," € 3,897,002.73 ",2013,Farm Subsidary
OFFALY INTEGRATED LOCAL DEV CO. LTD.,"Offaly,",IE," € 3,865,610.73 ",2013,Farm Subsidary
SOUTH WEST MAYO DEVELOPMENT COMPANY LTD,"Mayo,",Ireland," € 3,791,631.80 ",2013,Farm Subsidary
LAOIS COMMUNITY AND ENTERPRISE DEV,"Laois,",Ireland," € 3,754,856.64 ",2013,Farm Subsidary
